,HITId,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Input.setting,Answer.Others,Approve,Reject,Score,3Score
0,3BDORL6HLWUKFC0JD9TEI9XRQDWCRE,3L4PIM1GQ6X05ZZIZ3G54KLZHJ7RY4,A2HM35CWB7IIFM,39,100% (414/414),Write a <b>formal</b> passage about love:,Love is the most beautiful thing in the world. It is the feeling that makes us feel alive and happy. Love is what makes us want to be better people. It is the thing that makes us happy when we are sad. Love is what makes us want to help others. Love is what makes us want to make the world a better place.,Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,"The text is opinionated and subjective about love, and is feeling rather than dispassionate.",,,-2,-1
1,3BDORL6HLWUKFC0JD9TEI9XRQDWCRE,3I0BTBYZAA2C55FJ5QXQKOKC8T7Y0C,A31P3ZS4NETEA5,25,100% (17/17),Write a <b>formal</b> passage about love:,Love is the most beautiful thing in the world. It is the feeling that makes us feel alive and happy. Love is what makes us want to be better people. It is the thing that makes us happy when we are sad. Love is what makes us want to help others. Love is what makes us want to make the world a better place.,Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no,,,-2,-1
2,3BDORL6HLWUKFC0JD9TEI9XRQDWCRE,3GDTJDAPV7SUTDV8HRMUJ83NIH5M8X,AKQAI78JTXXC9,211,100% (240/240),Write a <b>formal</b> passage about love:,Love is the most beautiful thing in the world. It is the feeling that makes us feel alive and happy. Love is what makes us want to be better people. It is the thing that makes us happy when we are sad. Love is what makes us want to help others. Love is what makes us want to make the world a better place.,Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,-1,-1
3,3J6BHNX0VL9HJCKFCFTVX85PUPGKNB,3GS6S824S3EB1WCQRVH0A3V95EINWD,A3PUUVUDORJS8W,8,100% (20/20),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can change the way a person thinks, feels, and behaves. Love can cause people to do things that they never thought possible. It is a very strong emotion that can have a major impact on a person's life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
4,3J6BHNX0VL9HJCKFCFTVX85PUPGKNB,3W92K5RLW7YUWI6FXLGIUKC97KH5VW,A9HQ3E0F2AGVO,443,100% (273/273),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can change the way a person thinks, feels, and behaves. Love can cause people to do things that they never thought possible. It is a very strong emotion that can have a major impact on a person's life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
5,3J6BHNX0VL9HJCKFCFTVX85PUPGKNB,374TNBHA8OC0TYKIMOR5ZUBULX4YQ9,AKQAI78JTXXC9,136,100% (240/240),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can change the way a person thinks, feels, and behaves. Love can cause people to do things that they never thought possible. It is a very strong emotion that can have a major impact on a person's life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
6,3BAWBGQGZXG6W2M4VCQD3KUGA8I7V9,3K4J6M3CXRA8KRS13M8D2UPLCJUAGI,A3PUUVUDORJS8W,10,100% (20/20),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can experience. It can lead us to do great and wonderful things, or it can cause us great pain. But despite its power, love is often misunderstood.<br><br>People often think of love as a feeling, something that just happens to us. But love is much more than that. Love is a decision, a choice to care for and be committed to someone else. It is an action, not just a emotion.<br><br>True love is not based on feelings alone. It is based on trust, respect, and selflessness. It is a decision to put someone else's needs and happiness above your own. It is a choice to be there for someone, no matter what.<br><br>Love is one of the most beautiful things in the world. It is worth fighting for and worth sacrificing for. It is worth everything.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
7,3BAWBGQGZXG6W2M4VCQD3KUGA8I7V9,3WZ36BJEVGXH86JZT07GWOOGKVMTB4,A9HQ3E0F2AGVO,430,100% (273/273),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can experience. It can lead us to do great and wonderful things, or it can cause us great pain. But despite its power, love is often misunderstood.<br><br>People often think of love as a feeling, something that just happens to us. But love is much more than that. Love is a decision, a choice to care for and be committed to someone else. It is an action, not just a emotion.<br><br>True love is not based on feelings alone. It is based on trust, respect, and selflessness. It is a decision to put someone else's needs and happiness above your own. It is a choice to be there for someone, no matter what.<br><br>Love is one of the most beautiful things in the world. It is worth fighting for and worth sacrificing for. It is worth everything.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,2,1
8,3BAWBGQGZXG6W2M4VCQD3KUGA8I7V9,37ZHEEHM693P7DIF14P999YM76I37B,AKQAI78JTXXC9,133,100% (240/240),Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can experience. It can lead us to do great and wonderful things, or it can cause us great pain. But despite its power, love is often misunderstood.<br><br>People often think of love as a feeling, something that just happens to us. But love is much more than that. Love is a decision, a choice to care for and be committed to someone else. It is an action, not just a emotion.<br><br>True love is not based on feelings alone. It is based on trust, respect, and selflessness. It is a decision to put someone else's needs and happiness above your own. It is a choice to be there for someone, no matter what.<br><br>Love is one of the most beautiful things in the world. It is worth fighting for and worth sacrificing for. It is worth everything.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,,,,1,1
9,3G4VVJO6QBXHMXWSSU6N1XAKU4HPKC,358UUM7WRCKHQF3HCUQ5R712DKYR73,A2Y2AZ8DBFU47Q,28,91% (32/35),Write a <b>formal</b> passage about love:,"Love is a feeling that is often described as a strong affection towards someone. It is often associated with strong feelings of happiness, joy, passion, and desire. Love can also be described as a feeling of caring and protection towards someone.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic,no,,,2,1
